gen; best; worst; avg
0; 152038; -25360; 4161.76
10; 152038; -25442.7; 25220.4
20; 152038; -25815.4; 24816.4
30; 152043; -27722.5; 24606.8
40; 152079; -27459.1; 24646.7
50; 152079; -27459.1; 24802.9
60; 152079; -27459.1; 24620.7
70; 152125; -27459.1; 24388.6
80; 152125; -27604.8; 24175.3
90; 152197; -27444.2; 24261.7
100; 152259; -27444.2; 24156.4
110; 152259; -27456; 24272.8
120; 152259; -27436.3; 24192.9
130; 152259; -26862.1; 24335.3
140; 152259; -25179.7; 24345.9
150; 152259; -25179.7; 23997.3
160; 152259; -25179.7; 23845.1
170; 152259; -24527.5; 23515.6
180; 152259; -24874.2; 23187.1
190; 152259; -25004.5; 23342.3
200; 152259; -25253.7; 23283.6
210; 152259; -24856.1; 23195.2
220; 152352; -24856.1; 22988.2
230; 152352; -24856.1; 22842.2
240; 152352; -25056.9; 22953.8
250; 152352; -25736.1; 22724.3
260; 152352; -27494.9; 22618.4
270; 152352; -27148.5; 22598.8
280; 152352; -27148.5; 22326.9
290; 152352; -27148.5; 22248.7
300; 152362; -27148.5; 22320
310; 152362; -27148.5; 22181.2
320; 152362; -27148.5; 22231.2
330; 152362; -25914.6; 22145.1
340; 152362; -25455.3; 22175.1
350; 152362; -24676.7; 21922.5
360; 152362; -24676.7; 21759.5
370; 152362; -25365.8; 21678.2
380; 152362; -25365.8; 21655.2
390; 152362; -24704.6; 21325.2
400; 152362; -24704.6; 21267.3
410; 152362; -24017.4; 21259.6
420; 152362; -24017.4; 21227.5
430; 152362; -23723.4; 21026.9
440; 152362; -23723.4; 21014.7
450; 152362; -23142.5; 21192.7
460; 152362; -24439.6; 21151.7
470; 152362; -26862.4; 21304
480; 152362; -23953.4; 21081.1
490; 152362; -22479.6; 21059.1
500; 152362; -22499.5; 20906.1
510; 152362; -23126.7; 20914.6
520; 152362; -23253.4; 20776
530; 152377; -23253.4; 20760.3
540; 152377; -24873.8; 20879.4
550; 152377; -28910.3; 20927.9
560; 152377; -26471.9; 21021.3
570; 152377; -27722.9; 20667.2
580; 152377; -27026.2; 20811.7
590; 152377; -27026.2; 20516.2
600; 152377; -27026.2; 20375.8
610; 152377; -30817.9; 20076.9
620; 152377; -33666.1; 19969.5
630; 152377; -32326.7; 20088.3
640; 152377; -32326.7; 19937.7
650; 152377; -26489.9; 19904.8
660; 152377; -26489.9; 19915.8
670; 152377; -25801.5; 19861.2
680; 152377; -26747.2; 19656.4
690; 152377; -27974.9; 19569.9
700; 152377; -27974.9; 19107.5
710; 152377; -27974.9; 19334.5
720; 152377; -25580.1; 19277.5
730; 152388; -29123.8; 19137.6
740; 152388; -28386.1; 19140.2
750; 152388; -28386.1; 19018
760; 152388; -28863.6; 18695.7
770; 152388; -28863.6; 18525.5
780; 152388; -28498; 18427
790; 152388; -26214.8; 18583.5
800; 152388; -27544.4; 18523.3
810; 152388; -27941.7; 18467.1
820; 152388; -27941.7; 18259.4
830; 152388; -29885.3; 17954.7
840; 152388; -29885.3; 17714.5
850; 152388; -29885.3; 17466.5
860; 152388; -29885.3; 17473.7
870; 152388; -29244.5; 17088.6
880; 152388; -29655.6; 17126.5
890; 152388; -25402.7; 17216
900; 152388; -28577.7; 17481
910; 152388; -27713.6; 17624.5
920; 152388; -28180.1; 17536.2
930; 152388; -35018.6; 17509.6
940; 152388; -35018.6; 17391.6
950; 152388; -31028.5; 17422.4
960; 152388; -31579.8; 17164.6
970; 152503; -27089.7; 16890.4
980; 152699; -27089.7; 16929.7
990; 152699; -27089.7; 16937.9
1000; 152699; -26321; 16815.8
1010; 152699; -28960.3; 16511
1020; 152786; -26009.2; 16678
1030; 152786; -28983.8; 16602.1
1040; 152814; -28983.8; 16394
1050; 152814; -28983.8; 16551.9
1060; 152814; -27748; 16410.1
1070; 152814; -24622.1; 16282
1080; 152814; -24622.1; 16284.2
1090; 152814; -24622.1; 16737.8
1100; 152943; -25050.8; 16521.1
1110; 152943; -25741.2; 16521.6
1120; 152943; -25741.2; 16789.3
1130; 152943; -25741.2; 16509.6
1140; 152943; -25741.2; 16525.7
1150; 152943; -26016.5; 16380.3
1160; 152943; -23841.5; 16112.8
1170; 152943; -22800.8; 16009.7
1180; 152943; -24250.1; 16188.1
1190; 152943; -24250.1; 16146.2
1200; 152943; -24280.7; 15830.2
1210; 152943; -25802; 16048.2
1220; 152943; -25802; 16271.2
1230; 153025; -25802; 16374.1
1240; 153041; -25597.1; 16248.6
1250; 153041; -27384.8; 15984.4
1260; 153041; -30213.7; 16251.5
1270; 153041; -30400.6; 16163.6
1280; 153041; -28515.7; 15904.3
1290; 153041; -28515.7; 15642
1300; 153041; -28690.8; 15386.9
1310; 153041; -28690.8; 15359.3
1320; 153041; -28690.8; 15144.6
1330; 153041; -28690.8; 15410.8
1340; 153041; -28690.8; 15161.2
1350; 153041; -28640.7; 15287.1
1360; 153041; -29576.8; 15206.6
1370; 153041; -26007.2; 15431.7
1380; 153041; -26131.6; 15463.9
1390; 153041; -30760.7; 15565.6
1400; 153041; -30943.6; 15397.3
1410; 153041; -30943.6; 15223.2
1420; 153041; -31592.2; 14962.3
1430; 153041; -28240.8; 14884.5
1440; 153041; -28594.5; 14652
1450; 153041; -28594.5; 14315.2
1460; 153041; -29905.6; 14251.1
1470; 153041; -29905.6; 14475.6
1480; 153041; -29905.6; 14245.4
1490; 153041; -27483.7; 14026.4
1500; 153041; -27483.7; 14333.9
1510; 153041; -26078.4; 14617.7
1520; 153041; -25202.8; 14523.9
1530; 153041; -25720.2; 14470.2
1540; 153041; -30396.1; 14268.8
1550; 153041; -30396.1; 14244.6
1560; 153041; -30396.1; 14127.1
1570; 153041; -30396.1; 14140.1
1580; 153041; -30409.3; 14208.9
1590; 153041; -30409.3; 14411.8
1600; 153041; -30409.3; 14138.5
1610; 153041; -30409.3; 13976
1620; 153041; -30409.3; 13982.5
1630; 153041; -26830.8; 14105.9
1640; 153041; -32102; 13970
1650; 153082; -32102; 13800.4
1660; 153082; -32102; 13735.7
1670; 153082; -30552.7; 13490.7
1680; 153082; -31327.8; 13199.1
1690; 153082; -28961.7; 13471.5
1700; 153082; -29074.6; 13480.1
1710; 153082; -29454.6; 13436.1
1720; 153082; -29454.6; 13393.9
1730; 153082; -25466.6; 13573.1
1740; 153082; -25538.4; 13421
1750; 153082; -25538.4; 13378.6
1760; 153082; -22643.1; 13241
1770; 153082; -22643.1; 13218.1
1780; 153082; -24338.8; 13167.9
1790; 153167; -23421.9; 13091.2
1800; 153167; -23626.9; 13140.2
1810; 153167; -26599.1; 12963.5
1820; 153167; -26599.1; 13095.6
1830; 153167; -25543.1; 12733.2
1840; 153167; -25463.6; 12826.6
1850; 153167; -28598.2; 12776.1
1860; 153167; -25085.7; 12717.4
1870; 153167; -25173.8; 12844.1
1880; 153167; -25579.1; 13142
1890; 153167; -23224.9; 13203.1
1900; 153375; -23224.9; 12842.4
1910; 153375; -23500.3; 12642.5
1920; 153375; -25213; 12787.8
1930; 153375; -25346; 12539.7
1940; 153375; -27995; 12818.9
1950; 153375; -25674.6; 12874.5
1960; 153375; -25674.6; 12810.5
1970; 153375; -25411.2; 12854.3
1980; 153375; -27065.8; 12770.9
1990; 153375; -24661.7; 12871.1
2000; 153375; -23906.2; 12666.6
2010; 153375; -25686.4; 12562.7
2020; 153375; -25686.4; 12403
2030; 153375; -26779.3; 12518.7
2040; 153375; -26222.6; 12500.7
2050; 153375; -29264.1; 12327.4
2060; 153375; -29264.1; 12355.4
2070; 153375; -29264.1; 12230.2
2080; 153375; -29561.5; 12140
2090; 153375; -28714.3; 12034.6
2100; 153375; -28697.7; 11881.9
2110; 153375; -26971.6; 11884.6
2120; 153375; -26971.6; 11748.4
2130; 153375; -26971.6; 11964.7
2140; 153384; -26971.6; 12031.9
2150; 153384; -26971.6; 12021.8
2160; 153384; -32745.1; 12206.9
2170; 153384; -26737.1; 12229.5
2180; 153384; -26737.1; 12188.3
2190; 153384; -25155.3; 12143.3
2200; 153406; -24166.5; 12188.1
2210; 153406; -22585.6; 12087.1
2220; 153406; -27703.9; 11950.6
2230; 153406; -28946.5; 11942.6
2240; 153406; -28946.5; 12048
2250; 153406; -27748; 12033.7
2260; 153406; -25421.6; 11792.6
2270; 153406; -23870.4; 11739.7
2280; 153406; -24812.7; 11671.5
2290; 153406; -24321.3; 11821.5
2300; 153406; -24321.3; 11825.9
2310; 153406; -24099.4; 11838.8
2320; 153406; -24009.4; 11705.5
2330; 153406; -24553.9; 11480
2340; 153406; -23970.6; 11373.8
2350; 153406; -23234.7; 11518.9
2360; 153406; -22793.6; 11333
2370; 153406; -25610.3; 11421.2
2380; 153406; -24434.4; 11422
2390; 153406; -23674.5; 11146.4
2400; 153406; -24403.4; 10991.6
2410; 153406; -23513.1; 11159.1
2420; 153406; -28970.4; 11116
2430; 153406; -28936.7; 10810.2
2440; 153406; -28973.1; 10645.6
2450; 153406; -28973.1; 10768.2
2460; 153406; -28973.1; 10595.9
2470; 153406; -28085.2; 10646.8
2480; 153406; -30974.1; 10806.3
2490; 153406; -27377.8; 10711.2
2500; 153406; -27948.6; 10441.8
2510; 153406; -28135.6; 10247.2
2520; 153406; -28135.6; 10327.9
2530; 153406; -28797.8; 9999.82
2540; 153406; -26695.5; 10137
2550; 153406; -26695.5; 10327.5
2560; 153406; -26139.9; 10124.3
2570; 153406; -26529.6; 10091
2580; 153406; -26529.6; 10250.4
2590; 153406; -26949.5; 10236.7
2600; 153406; -26949.5; 10274.1
2610; 153406; -29073.4; 9721.3
2620; 153406; -28922.1; 9664.22
2630; 153406; -28922.1; 9708.15
2640; 153406; -30573.4; 9359.04
2650; 153406; -31166.4; 9517.58
2660; 153406; -31166.4; 9515.87
2670; 153406; -31906.5; 9139.15
2680; 153406; -27281; 9405.9
2690; 153406; -27224.8; 9687.03
2700; 153406; -27102.5; 9669.77
2710; 153406; -27102.5; 9547.76
2720; 153406; -28027; 9380.45
